GEO_ID,NAME,,
48001,"Anderson County, Texas",,17
48003,"Andrews County, Texas",,0
48005,"Angelina County, Texas",,0
48007,"Aransas County, Texas",,152
48009,"Archer County, Texas",,6
48011,"Armstrong County, Texas",,0
48013,"Atascosa County, Texas",,169
48015,"Austin County, Texas",,3
48017,"Bailey County, Texas",,0
48019,"Bandera County, Texas",,0
48021,"Bastrop County, Texas",,0
48023,"Baylor County, Texas",,0
48025,"Bee County, Texas",,16
48027,"Bell County, Texas",,178
48029,"Bexar County, Texas",,1088
48031,"Blanco County, Texas",,0
48033,"Borden County, Texas",,0
48035,"Bosque County, Texas",,0
48037,"Bowie County, Texas",,11
48039,"Brazoria County, Texas",,16
48041,"Brazos County, Texas",,29
48043,"Brewster County, Texas",,0
48045,"Briscoe County, Texas",,0
48047,"Brooks County, Texas",,26
48049,"Brown County, Texas",,21
48051,"Burleson County, Texas",,0
48053,"Burnet County, Texas",,7
48055,"Caldwell County, Texas",,74
48057,"Calhoun County, Texas",,0
48059,"Callahan County, Texas",,12
48061,"Cameron County, Texas",,88
48063,"Camp County, Texas",,0
48065,"Carson County, Texas",,0
48067,"Cass County, Texas",,15
48069,"Castro County, Texas",,0
48071,"Chambers County, Texas",,0
48073,"Cherokee County, Texas",,30
48075,"Childress County, Texas",,20
48077,"Clay County, Texas",,37
48079,"Cochran County, Texas",,25
48081,"Coke County, Texas",,8
48083,"Coleman County, Texas",,0
48085,"Collin County, Texas",,228
48087,"Collingsworth County, Texas",,0
48089,"Colorado County, Texas",,0
48091,"Comal County, Texas",,68
48093,"Comanche County, Texas",,0
48095,"Concho County, Texas",,0
48097,"Cooke County, Texas",,8
48099,"Coryell County, Texas",,9
48101,"Cottle County, Texas",,0
48103,"Crane County, Texas",,0
48105,"Crockett County, Texas",,0
48107,"Crosby County, Texas",,9
48109,"Culberson County, Texas",,0
48111,"Dallam County, Texas",,0
48113,"Dallas County, Texas",,1507
48115,"Dawson County, Texas",,0
48117,"Deaf Smith County, Texas",,76
48119,"Delta County, Texas",,9
48121,"Denton County, Texas",,117
48123,"DeWitt County, Texas",,9
48125,"Dickens County, Texas",,10
48127,"Dimmit County, Texas",,0
48129,"Donley County, Texas",,0
48131,"Duval County, Texas",,0
48133,"Eastland County, Texas",,0
48135,"Ector County, Texas",,107
48137,"Edwards County, Texas",,0
48139,"Ellis County, Texas",,21
48141,"El Paso County, Texas",,411
48143,"Erath County, Texas",,203
48145,"Falls County, Texas",,0
48147,"Fannin County, Texas",,0
48149,"Fayette County, Texas",,0
48151,"Fisher County, Texas",,0
48153,"Floyd County, Texas",,0
48155,"Foard County, Texas",,0
48157,"Fort Bend County, Texas",,160
48159,"Franklin County, Texas",,0
48161,"Freestone County, Texas",,0
48163,"Frio County, Texas",,30
48165,"Gaines County, Texas",,0
48167,"Galveston County, Texas",,18
48169,"Garza County, Texas",,0
48171,"Gillespie County, Texas",,0
48173,"Glasscock County, Texas",,0
48175,"Goliad County, Texas",,0
48177,"Gonzales County, Texas",,14
48179,"Gray County, Texas",,25
48181,"Grayson County, Texas",,70
48183,"Gregg County, Texas",,49
48185,"Grimes County, Texas",,4
48187,"Guadalupe County, Texas",,193
48189,"Hale County, Texas",,0
48191,"Hall County, Texas",,0
48193,"Hamilton County, Texas",,0
48195,"Hansford County, Texas",,0
48197,"Hardeman County, Texas",,0
48199,"Hardin County, Texas",,14
48201,"Harris County, Texas",,2778
48203,"Harrison County, Texas",,60
48205,"Hartley County, Texas",,0
48207,"Haskell County, Texas",,68
48209,"Hays County, Texas",,45
48211,"Hemphill County, Texas",,0
48213,"Henderson County, Texas",,0
48215,"Hidalgo County, Texas",,653
48217,"Hill County, Texas",,3
48219,"Hockley County, Texas",,6
48221,"Hood County, Texas",,5
48223,"Hopkins County, Texas",,22
48225,"Houston County, Texas",,0
48227,"Howard County, Texas",,0
48229,"Hudspeth County, Texas",,0
48231,"Hunt County, Texas",,25
48233,"Hutchinson County, Texas",,0
48235,"Irion County, Texas",,0
48237,"Jack County, Texas",,0
48239,"Jackson County, Texas",,0
48241,"Jasper County, Texas",,10
48243,"Jeff Davis County, Texas",,0
48245,"Jefferson County, Texas",,115
48247,"Jim Hogg County, Texas",,0
48249,"Jim Wells County, Texas",,164
48251,"Johnson County, Texas",,56
48253,"Jones County, Texas",,9
48255,"Karnes County, Texas",,4
48257,"Kaufman County, Texas",,19
48259,"Kendall County, Texas",,40
48261,"Kenedy County, Texas",,0
48263,"Kent County, Texas",,0
48265,"Kerr County, Texas",,4
48267,"Kimble County, Texas",,14
48269,"King County, Texas",,0
48271,"Kinney County, Texas",,0
48273,"Kleberg County, Texas",,77
48275,"Knox County, Texas",,0
48277,"Lamar County, Texas",,11
48279,"Lamb County, Texas",,0
48281,"Lampasas County, Texas",,2
48283,"La Salle County, Texas",,0
48285,"Lavaca County, Texas",,0
48287,"Lee County, Texas",,0
48289,"Leon County, Texas",,89
48291,"Liberty County, Texas",,68
48293,"Limestone County, Texas",,21
48295,"Lipscomb County, Texas",,5
48297,"Live Oak County, Texas",,69
48299,"Llano County, Texas",,0
48301,"Loving County, Texas",,0
48303,"Lubbock County, Texas",,168
48305,"Lynn County, Texas",,2
48307,"McCulloch County, Texas",,0
48309,"McLennan County, Texas",,88
48311,"McMullen County, Texas",,0
48313,"Madison County, Texas",,0
48315,"Marion County, Texas",,0
48317,"Martin County, Texas",,0
